table_row_id,run_mode,dataset_id,baseline_system_id,system_id,specialist_composition_id,mean_correctness_delta,direction_vs_baseline,decision_pairwise_agreement,mean_abs_probability_difference,row_count,source_metric_manifest_hash,source_metric_artifact_hash
2b9794b173a2f5e0ace5be95,audit,adult_income,veto_mavs,pure_mavs_gc,rf_gbt_pair,-0.014814814814814815,pure_mavs_lower,0.9851851851851852,3.2552835598577113e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
f7bbf5bd65574335c81ed339,audit,adult_income,veto_mavs,pure_mavs_gc,rf_mlp_pair,-0.009259259259259259,pure_mavs_lower,0.9055555555555556,2.9126221325042687e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
94b812ef3410e9d16b9ce7fa,audit,bank_marketing,mean_ensemble,pure_mavs_gc,full_rf_gbt_mlp,-0.12654320987654322,pure_mavs_lower,0.8080246913580247,8.537284666773382e-05,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
0d76ac22ae16cdc4113fc199,audit,bank_marketing,mean_ensemble,pure_mavs_gc,gbt_mlp_pair,-0.046296296296296294,pure_mavs_lower,0.8660493827160494,4.454598555594764e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
6ea5fc1890834041ea4cdb9c,audit,bank_marketing,mean_ensemble,pure_mavs_gc,rf_gbt_pair,-0.07407407407407407,pure_mavs_lower,0.8765432098765432,3.597944987211155e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
73bc4344266f83ad8071b5ce,audit,bank_marketing,mean_ensemble,pure_mavs_gc,rf_mlp_pair,-0.06358024691358025,pure_mavs_lower,0.8598765432098765,1.2849803525754133e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
958b61eb3c1e630167a666a3,audit,bank_marketing,single_model,pure_mavs_gc,full_rf_gbt_mlp,-0.12654320987654322,pure_mavs_lower,0.8080246913580247,0.002651396561552986,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
b32ea180dafd0d5415ff682b,audit,bank_marketing,single_model,pure_mavs_gc,gbt_mlp_pair,-0.04135802469135803,pure_mavs_lower,0.8907407407407407,0.01141965064922912,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
77e338308efdc72fc14363f9,audit,bank_marketing,single_model,pure_mavs_gc,rf_gbt_pair,-0.09259259259259259,pure_mavs_lower,0.891358024691358,0.0029349007204992937,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
610089af3a5cc5d866d42fff,audit,bank_marketing,single_model,pure_mavs_gc,rf_mlp_pair,-0.0734567901234568,pure_mavs_lower,0.8277777777777777,0.0015622556428740145,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
22dd0820d2ebf8154f89dde4,audit,bank_marketing,static_weighted_ensemble,pure_mavs_gc,full_rf_gbt_mlp,-0.10864197530864197,pure_mavs_lower,0.8469135802469135,0.009715132221303307,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
ebd6e0498b191c0aa20cc10f,audit,bank_marketing,static_weighted_ensemble,pure_mavs_gc,gbt_mlp_pair,-0.04506172839506173,pure_mavs_lower,0.9092592592592592,0.01417545403300445,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
6a48dab8aed683fcb5501ed2,audit,bank_marketing,static_weighted_ensemble,pure_mavs_gc,rf_gbt_pair,-0.09012345679012346,pure_mavs_lower,0.9049382716049382,0.001988405610931054,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
13504058f219b769e4359460,audit,bank_marketing,static_weighted_ensemble,pure_mavs_gc,rf_mlp_pair,-0.05432098765432099,pure_mavs_lower,0.8530864197530864,0.00546913678164922,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
547c515b3e95e54f563d9602,audit,bank_marketing,veto_mavs,pure_mavs_gc,full_rf_gbt_mlp,-0.12654320987654322,pure_mavs_lower,0.8080246913580247,8.537284666773382e-05,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
b0ea70350e888fc59ff52fc4,audit,bank_marketing,veto_mavs,pure_mavs_gc,gbt_mlp_pair,-0.046296296296296294,pure_mavs_lower,0.8660493827160494,4.454598555594764e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
41436ba9635f1a672eef31ab,audit,bank_marketing,veto_mavs,pure_mavs_gc,rf_gbt_pair,-0.07407407407407407,pure_mavs_lower,0.8765432098765432,3.597944987211155e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
0517bfdce7a6d1b1d220e434,audit,bank_marketing,veto_mavs,pure_mavs_gc,rf_mlp_pair,-0.06358024691358025,pure_mavs_lower,0.8598765432098765,1.2849803525754133e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
74c69c9583c868ce42e90613,audit,breast_cancer_wisconsin,mean_ensemble,pure_mavs_gc,full_rf_gbt_mlp,0.016666666666666666,pure_mavs_higher,0.9833333333333333,2.2327766795150672e-05,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
f90e6b3b50afe396045ccebc,audit,breast_cancer_wisconsin,mean_ensemble,pure_mavs_gc,gbt_mlp_pair,0.0006172839506172839,pure_mavs_higher,0.995679012345679,1.294885409459848e-18,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
bd3855831173dc1050521e2a,audit,breast_cancer_wisconsin,mean_ensemble,pure_mavs_gc,rf_gbt_pair,0.0,neutral,1.0,4.503370921841604e-19,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
f6a0acdd4a7ab0a9ab06efee,audit,breast_cancer_wisconsin,mean_ensemble,pure_mavs_gc,rf_mlp_pair,0.008024691358024692,pure_mavs_higher,0.9882716049382716,8.727158227908005e-20,1620,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,06ac4f4dbfd5d75eb69666861efa602da9f7ea6c0c3aef49fad8520c68fd4af4
