table_row_id,run_mode,dataset_id,system_id,specialist_composition_id,metric_name,compared_metric,mean_metric_value,sample_variance,standard_deviation,confidence_interval_width,ci_width_comparison_to_pure,pure_mavs_reference_ci_width,row_count,repetition_unit_count,source_metric_manifest_hash,source_metric_artifact_hash
6493397ebe51a67923f23238,audit,adult_income,pure_mavs_gc,rf_gbt_pair,f1_variance,f1,0.7741414141414142,0.011659346127604128,0.10797845214487994,0.03154909545588484,reference,0.03154909545588484,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
f963e39131047c06226ba473,audit,adult_income,pure_mavs_gc,rf_mlp_pair,accuracy_variance,accuracy,0.7253086419753085,0.03551011180847721,0.18844126885710893,0.055058684958959124,reference,0.055058684958959124,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
071fc7fd41f640a05179e4fd,audit,adult_income,pure_mavs_gc,rf_mlp_pair,f1_variance,f1,0.7506790123456789,0.024365830650681014,0.15609558177822014,0.04560793669421442,reference,0.04560793669421442,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
3e581a584a8e50378a732a88,audit,adult_income,single_model,full_rf_gbt_mlp,accuracy_variance,accuracy,0.7228395061728395,0.019104382677732564,0.1382186046729331,0.0403846495850362,pure_mavs_wider,0.05238442999685453,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
b458ffa71250e59245865c30,audit,adult_income,single_model,full_rf_gbt_mlp,f1_variance,f1,0.76496632996633,0.011761161356810589,0.10844888822302692,0.03168654725705937,pure_mavs_wider,0.04271558065166612,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
4940b1a96d9d6a810e1c7036,audit,adult_income,single_model,gbt_mlp_pair,accuracy_variance,accuracy,0.730246913580247,0.021384999731782258,0.14623610953448624,0.04272720054007094,pure_mavs_wider,0.056200886428446055,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
c131e3a46ebc0ad821b61c7e,audit,adult_income,single_model,gbt_mlp_pair,f1_variance,f1,0.770959595959596,0.013254172844066192,0.11512676858170819,0.03363768732893531,pure_mavs_wider,0.04843693611822448,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
6e96c4430c970c07cb56b720,audit,adult_income,single_model,rf_gbt_pair,accuracy_variance,accuracy,0.7388888888888889,0.01937719842747775,0.13920200583137352,0.04067197929205438,pure_mavs_wider,0.040949705429390006,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
118527a7c8537756f7461829,audit,adult_income,single_model,rf_gbt_pair,f1_variance,f1,0.7896969696969698,0.010139341613186206,0.10069429781862628,0.0294208145295568,pure_mavs_wider,0.03154909545588484,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
1c90cc3d5dc421fe7a405000,audit,adult_income,single_model,rf_mlp_pair,accuracy_variance,accuracy,0.7185185185185184,0.021435961100765566,0.14641024930231342,0.04277808061890809,pure_mavs_wider,0.055058684958959124,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
f441e8c0060b487eeefabd16,audit,adult_income,single_model,rf_mlp_pair,f1_variance,f1,0.7598484848484848,0.014020495286366287,0.11840817237997675,0.0345964464109971,pure_mavs_wider,0.04560793669421442,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
a63872864bc7528ac4c91dc4,audit,adult_income,static_weighted_ensemble,full_rf_gbt_mlp,accuracy_variance,accuracy,0.7413580246913581,0.020529768336513626,0.14328212846169486,0.041864107682291055,pure_mavs_wider,0.05238442999685453,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
e6bd17a69017e3ea0d4f8d81,audit,adult_income,static_weighted_ensemble,full_rf_gbt_mlp,f1_variance,f1,0.7876851851851854,0.011655817457345305,0.1079621112119678,0.031544320969475355,pure_mavs_wider,0.04271558065166612,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
ddb4d27052eaac4f0c232446,audit,adult_income,static_weighted_ensemble,gbt_mlp_pair,accuracy_variance,accuracy,0.7364197530864197,0.02290234575564598,0.1513352099005581,0.04421705338564135,pure_mavs_wider,0.056200886428446055,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
5c6173730ed54f9787bb352b,audit,adult_income,static_weighted_ensemble,gbt_mlp_pair,f1_variance,f1,0.7822979797979798,0.013594463553770312,0.11659529816322059,0.03406676163984283,pure_mavs_wider,0.04843693611822448,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
795bddf1fbac48ead9b4f62f,audit,adult_income,static_weighted_ensemble,rf_gbt_pair,accuracy_variance,accuracy,0.7407407407407408,0.01931167666735636,0.1389664587854075,0.040603157262381624,pure_mavs_wider,0.040949705429390006,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
49ccc0c68501f3288f044d3f,audit,adult_income,static_weighted_ensemble,rf_gbt_pair,f1_variance,f1,0.791919191919192,0.009882471233410798,0.09941061931911901,0.029045749924432786,pure_mavs_wider,0.03154909545588484,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,bcb3a565ab78cb63d57fa29e3872ba4535ea472985ae623d773a4975a818fd39
453665e92646ff095d44e078,audit,adult_income,static_weighted_ensemble,rf_mlp_pair,accuracy_variance,accuracy,0.7413580246913581,0.020943589979385547,0.14471900351849284,0.042283933188441813,pure_mavs_wider,0.055058684958959124,1620,180,2c6ffec8b4febe7c1f0fa31740b37c7684fc23ca288502fea68693b81c486645,909fd502bff636e47afdf226e9078657dbe8e563586ae09abf171f974e487462
